OP_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,FLIGHT_STATUS,DAY,MONTH
Mesa Airline,MAF,DFW,2,89.0,2,80.0,70.0,48.0,309.0,1,25,6
Republic Airways,LGA,ATL,3,24.0,4,166.0,172.0,110.0,762.0,1,10,12
Delta Airlines,ORD,ATL,4,7.0,4,123.0,116.0,84.0,606.0,1,17,12
Southwest Airlines,ORF,BWI,2,8.0,2,60.0,56.0,42.0,159.0,1,4,4
SkyWest Airlines,CMH,DTW,4,-11.0,4,63.0,84.0,36.0,155.0,1,12,3
United Airlines,LAX,DEN,3,-6.0,4,143.0,175.0,117.0,862.0,1,31,8
Envoy Air,ORD,CVG,4,-2.0,1,64.0,78.0,44.0,264.0,1,5,9
PSA Airlines,CLT,TLH,3,22.0,3,88.0,93.0,68.0,386.0,1,23,4
Southwest Airlines,DTW,STL,4,5.0,4,90.0,86.0,70.0,440.0,1,15,5
Southwest Airlines,MDW,LAS,2,45.0,2,245.0,237.0,220.0,1521.0,1,22,11
Southwest Airlines,LAS,PHX,4,30.0,4,65.0,58.0,45.0,255.0,1,23,6
United Airlines,LAX,SFO,4,-9.0,4,90.0,109.0,72.0,337.0,1,12,4
United Airlines,ORD,IAH,2,33.0,3,154.0,143.0,123.0,925.0,1,16,7
ExpressJet,ORD,RIC,3,-4.0,3,133.0,156.0,98.0,642.0,1,19,8
American Airlines,LAX,JFK,4,51.0,2,329.0,304.0,284.0,2475.0,1,13,1
JetBlue Airways,IAD,BOS,4,108.0,4,92.0,77.0,59.0,413.0,1,23,10
SkyWest Airlines,AVL,ORD,2,22.0,2,120.0,113.0,84.0,536.0,1,22,5
JetBlue Airways,SAV,JFK,2,5.0,3,117.0,113.0,99.0,718.0,1,18,1
SkyWest Airlines,LAX,MFR,4,40.0,4,125.0,129.0,103.0,630.0,1,21,5
Republic Airways,IAH,DTW,2,23.0,2,168.0,165.0,124.0,1075.0,1,27,9
Southwest Airlines,FLL,PIT,3,-5.0,3,160.0,147.0,129.0,994.0,0,8,8
Delta Airlines,RSW,ATL,2,-6.0,2,102.0,96.0,74.0,515.0,0,14,6
Southwest Airlines,DEN,TPA,3,-3.0,4,205.0,200.0,185.0,1506.0,0,5,9
American Airlines,MIA,ORD,3,-2.0,3,201.0,174.0,150.0,1197.0,0,4,9
PSA Airlines,CLT,STL,2,-7.0,2,125.0,117.0,94.0,575.0,0,22,2
Spirit Airlines,PHX,ORD,4,-1.0,4,199.0,197.0,180.0,1440.0,0,14,11
Spirit Airlines,BWI,ATL,4,-2.0,4,118.0,106.0,90.0,577.0,0,7,3
Delta Airlines,HSV,ATL,3,-5.0,3,55.0,51.0,31.0,151.0,0,12,10
United Airlines,EWR,LAX,3,-4.0,3,378.0,352.0,325.0,2454.0,0,24,1
American Airlines,MIA,ORD,4,-3.0,4,196.0,191.0,172.0,1197.0,0,24,10
Delta Airlines,LIH,LAX,4,-9.0,2,324.0,318.0,294.0,2615.0,0,7,11
Alaska Airlines,PDX,LAS,2,-3.0,3,123.0,124.0,108.0,763.0,0,28,11
Delta Airlines,ATL,ORD,3,-4.0,3,120.0,105.0,88.0,606.0,0,28,9
Delta Airlines,MCO,LGA,2,5.0,2,159.0,140.0,126.0,950.0,0,8,4
Delta Airlines,ATL,CHA,2,-7.0,2,52.0,37.0,22.0,106.0,0,4,9
Spirit Airlines,FLL,BWI,4,2.0,4,148.0,143.0,122.0,925.0,0,22,11
PSA Airlines,DAY,CLT,1,-7.0,2,87.0,85.0,67.0,370.0,0,21,5
SkyWest Airlines,DAL,LGA,2,-3.0,3,211.0,213.0,194.0,1381.0,0,2,7
SkyWest Airlines,SAN,FAT,2,0.0,2,78.0,64.0,49.0,314.0,0,6,7
Southwest Airlines,RNO,SAN,2,-5.0,2,95.0,89.0,69.0,488.0,0,4,2
